Document,Region,Frequency Band
10.pdf,1. Cortex,Alpha
10.pdf,2. Barbiturate Anesthesia,Alpha
10.pdf,3. Light Sleep,Alpha
10.pdf,4. NO LOCATION,Theta
34.pdf,L posterior -medial frontal cortex (SMA),Alpha
34.pdf,L superior Frontal gyrus (PMd),Theta
34.pdf,L IFG ( p. opercularis) (PMv),Alpha
34.pdf,L precentral Gyrus (PMv),Beta
35.pdf,Sensitive-motor cortex,Alpha
35.pdf,Sensitive-motor cortex,Theta
35.pdf,Sensitive-motor cortex,Alpha
35.pdf,Sensitive-motor cortex,Beta
35.pdf,Sensitive-motor cortex,Alpha
35.pdf,Pre-motor cortex and supplementary motor cortex,Alpha
35.pdf,Pre-motor cortex and supplementary motor cortex,Theta
35.pdf,Pre-motor cortex and supplementary motor cortex,Alpha
35.pdf,Pre-motor cortex and supplementary motor cortex,Beta
35.pdf,Pre-motor cortex and supplementary motor cortex,Alpha
37.pdf,Frontal,Alpha
37.pdf,Frontal,Theta
37.pdf,Frontal,Alpha
37.pdf,Frontal,Beta
37.pdf,Frontal,Alpha
MI9.pdf,Frontal,Alpha
MI9.pdf,Frontal,Theta
MI9.pdf,Frontal,Alpha
MI9.pdf,Frontal,Beta
MI9.pdf,Frontal,Alpha
MI9.pdf,Central,Alpha
MI9.pdf,Central,Theta
MI9.pdf,Central,Alpha
MI9.pdf,Central,Beta
MI9.pdf,Central,Alpha
MI9.pdf,Motor,Alpha
MI9.pdf,Motor,Theta
MI9.pdf,Motor,Alpha
MI9.pdf,Motor,Beta
MI9.pdf,Motor,Alpha
MI9.pdf,Parietal,Alpha
MI9.pdf,Parietal,Theta
MI9.pdf,Parietal,Alpha
MI9.pdf,Parietal,Beta
MI9.pdf,Parietal,Alpha
MI9.pdf,Temporal,Alpha
MI9.pdf,Temporal,Theta
MI9.pdf,Temporal,Alpha
MI9.pdf,Temporal,Beta
MI9.pdf,Temporal,Alpha
MI9.pdf,Occipital,Alpha
MI9.pdf,Occipital,Theta
MI9.pdf,Occipital,Alpha
MI9.pdf,Occipital,Beta
MI9.pdf,Occipital,Alpha
MI12.pdf,Frontal,Alpha
MI4.pdf,Sensorimotor Cortex,Alpha
MI3.pdf,Frontal,Theta
MI3.pdf,Parietal,Theta
MI3.pdf,Temporal,Theta
MI1.pdf,Sensorimotor Cortex,Alpha
MI1.pdf,Sensorimotor Cortex,Beta
MI1.pdf,Sensorimotor Cortex,Alpha
MI1.pdf,Frontal Cortex,Alpha
MI1.pdf,Frontal Cortex,Beta
MI1.pdf,Frontal Cortex,Alpha
MI5.pdf,Frontal,Alpha
MI5.pdf,Motor,Alpha
MI5.pdf,Somatosensory,Beta
MI5.pdf,Occipital,Alpha
MI5.pdf,Frontal,Alpha
MI5.pdf,Parietal,Theta
MI5.pdf,Temporal,Alpha
MI2.pdf,Motor Imagery,Alpha
MI2.pdf,Motor Imagery,Alpha
MI2.pdf,Actual Movement,Alpha
MI2.pdf,Actual Movement,Alpha
MI15.pdf,Motor Imagery,Alpha
MI15.pdf,Motor Imagery,Beta
MI10.pdf,1. Frontal,Alpha
MI10.pdf,2. Central,Alpha
MI10.pdf,3. Motor,Alpha
MI10.pdf,4. Parietal,Alpha
MI7.pdf,Frontal Lobe,Theta
MI7.pdf,Parietal Lobe,Alpha
MI7.pdf,Occipital Lobe,Beta
MI7.pdf,Temporal Lobe,Alpha
MI7.pdf,Cerebellum,Alpha
MI7.pdf,Brainstem,Theta
MI7.pdf,Thalamus,Alpha
MI7.pdf,Hypothalamus,Beta
MI7.pdf,Amygdala,Alpha
MI7.pdf,Hippocampus,Alpha
MI7.pdf,Basal Ganglia,Theta
MI7.pdf,Corpus Callosum,Alpha
MI7.pdf,Insula,Beta
MI7.pdf,Cingulate Cortex,Alpha
MI7.pdf,Prefrontal Cortex,Alpha
MI7.pdf,Orbitofrontal Cortex,Theta
MI7.pdf,Anterior Cingulate Cortex,Alpha
MI7.pdf,Posterior Cingulate Cortex,Beta
MI7.pdf,Medial Prefrontal Cortex,Alpha
MI7.pdf,Dorsolateral Prefrontal Cortex,Alpha
MI6.pdf,Frontal,Alpha
MI6.pdf,Frontal,Theta
MI6.pdf,Frontal,Alpha
MI6.pdf,Frontal,Beta
MI13.pdf,Frontal,Theta
MI13.pdf,Central,Theta
MI13.pdf,Motor,Theta
MI13.pdf,Parietal,Theta
MI13.pdf,Temporal,Theta
MI13.pdf,Occipital,Theta
36.pdf,Frontal,Alpha
36.pdf,Central,Beta
MI11.pdf,Frontal,Alpha
MI11.pdf,Central,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Parietal,Alpha
MI11.pdf,Temporal,Alpha
MI11.pdf,Occipital,Alpha
40.pdf,LSTG,Theta
40.pdf,RMTG,Theta
40.pdf,PAC,Alpha
40.pdf,PCC,Alpha
46.pdf,1. Frontal,Beta
46.pdf,2. Temporal,Beta
46.pdf,3. Parietal,Beta
46.pdf,4. Occipital,Beta
46.pdf,5. Cerebellum,Beta
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Parietal Regions,Alpha
AA1.pdf,Cortico-Striatal Network,Alpha
AA1.pdf,Hand Selection,Alpha
AA8.pdf,Frontal,Alpha
AA8.pdf,Parietal,Alpha
AA8.pdf,Temporal,Alpha
AA8.pdf,Occipital,Alpha
AA8.pdf,Cerebellum,Alpha
AA8.pdf,Thalamus,Alpha
AA8.pdf,Hypothalamus,Alpha
AA8.pdf,Amygdala,Alpha
AA8.pdf,Hippocampus,Alpha
AA8.pdf,Basal Ganglia,Alpha
AA8.pdf,Brainstem,Alpha
AA8.pdf,Spinal Cord,Alpha
AA8.pdf,Peripheral Nervous System,Alpha
AA8.pdf,Autonomic Nervous System,Alpha
AA8.pdf,Enteric Nervous System,Alpha
AA8.pdf,Endocrine System,Alpha
AA8.pdf,Immune System,Alpha
AA8.pdf,Cardiovascular System,Alpha
AA8.pdf,Respiratory System,Alpha
AA8.pdf,Digestive System,Alpha
AA8.pdf,Urinary System,Alpha
AA8.pdf,Reproductive System,Alpha
AA8.pdf,Musculoskeletal System,Alpha
AA8.pdf,Integumentary System,Alpha
44.pdf,Visual Cortex,Alpha
44.pdf,Parietal Cortex,Alpha
44.pdf,Auditory Cortex,Alpha
44.pdf,Supramodal Representation of Space,Alpha
48.pdf,Parietal,Alpha
48.pdf,Parietal,Theta
48.pdf,Parietal,Alpha
48.pdf,Parietal,Beta
48.pdf,Frontal,Alpha
48.pdf,Frontal,Theta
48.pdf,Frontal,Alpha
48.pdf,Frontal,Beta
42.pdf,Frontal,Alpha
42.pdf,All,Theta
42.pdf,All,Alpha
42.pdf,All,Beta
42.pdf,All,Alpha
AA4.pdf,Frontal,Alpha
AA4.pdf,Frontal,Theta
AA4.pdf,Frontal,Alpha
AA4.pdf,Frontal,Beta
AA4.pdf,Frontal,Alpha
AA4.pdf,Central,Alpha
AA4.pdf,Central,Theta
AA4.pdf,Central,Alpha
AA4.pdf,Central,Beta
AA4.pdf,Central,Alpha
AA4.pdf,Motor,Alpha
AA4.pdf,Motor,Theta
AA4.pdf,Motor,Alpha
AA4.pdf,Motor,Beta
AA4.pdf,Motor,Alpha
AA4.pdf,Parietal,Alpha
AA4.pdf,Parietal,Theta
AA4.pdf,Parietal,Alpha
AA4.pdf,Parietal,Beta
AA4.pdf,Parietal,Alpha
AA4.pdf,Temporal,Alpha
AA4.pdf,Temporal,Theta
AA4.pdf,Temporal,Alpha
AA4.pdf,Temporal,Beta
AA4.pdf,Temporal,Alpha
AA4.pdf,Occipital,Alpha
AA4.pdf,Occipital,Theta
AA4.pdf,Occipital,Alpha
AA4.pdf,Occipital,Beta
AA4.pdf,Occipital,Alpha
AA5.pdf,Temporal,Alpha
AA5.pdf,Temporal,Alpha
45.pdf,Frontal,Alpha
45.pdf,Visual Cortex,Alpha
45.pdf,Motor Cortex,Alpha
38.pdf,FrontalNetwork,Theta
38.pdf,AnteriorandPosteriorCingulate,Theta
AA9.pdf,Frontal,Theta
AA9.pdf,Temporal,Theta
AA9.pdf,Parietal,Theta
AA9.pdf,Occipital,Theta
AA2.pdf,Auditory Cortex,Alpha
AA2.pdf,Auditory Cortex,Theta
AA2.pdf,Auditory Cortex,Alpha
AA2.pdf,Auditory Cortex,Beta
AA2.pdf,Auditory Cortex,Alpha
AA2.pdf,Frontal Lobe,Alpha
AA2.pdf,Frontal Lobe,Theta
AA2.pdf,Frontal Lobe,Alpha
AA2.pdf,Frontal Lobe,Beta
AA2.pdf,Frontal Lobe,Alpha
47.pdf,Frontal,Alpha
47.pdf,Frontal,Theta
47.pdf,Frontal,Alpha
47.pdf,Frontal,Beta
47.pdf,Frontal,Alpha
47.pdf,Central,Alpha
47.pdf,Central,Theta
47.pdf,Central,Alpha
47.pdf,Central,Beta
47.pdf,Central,Alpha
47.pdf,Motor,Alpha
47.pdf,Motor,Theta
47.pdf,Motor,Alpha
47.pdf,Motor,Beta
47.pdf,Motor,Alpha
47.pdf,Parietal,Alpha
47.pdf,Parietal,Theta
47.pdf,Parietal,Alpha
47.pdf,Parietal,Beta
47.pdf,Parietal,Alpha
47.pdf,Temporal,Alpha
47.pdf,Temporal,Theta
47.pdf,Temporal,Alpha
47.pdf,Temporal,Beta
47.pdf,Temporal,Alpha
47.pdf,Occipital,Alpha
47.pdf,Occipital,Theta
47.pdf,Occipital,Alpha
47.pdf,Occipital,Beta
47.pdf,Occipital,Alpha
AA3.pdf,Frontal,Theta
AA3.pdf,Central,Theta
AA3.pdf,Motor,Theta
AA3.pdf,Parietal,Theta
AA3.pdf,Temporal,Theta
AA3.pdf,Occipital,Theta
AA7.pdf,Frontal,Theta
AA7.pdf,Central,Theta
AA7.pdf,Motor,Theta
AA7.pdf,Parietal,Theta
AA7.pdf,Temporal,Theta
AA7.pdf,Occipital,Theta
AA6.pdf,Parietal,Alpha
AA6.pdf,Right Hemisphere,Alpha
AA6.pdf,Parietal,Alpha
AA6.pdf,Right Hemisphere,Alpha
AA6.pdf,Parietal,Theta
AA6.pdf,Right Hemisphere,Theta
AA6.pdf,Parietal,Beta
AA6.pdf,Right Hemisphere,Beta
AA6.pdf,Parietal,Alpha
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Frontal,Alpha
54.pdf,NO LOCATION,Alpha
54.pdf,NO LOCATION,Theta
54.pdf,NO LOCATION,Alpha
54.pdf,NO LOCATION,Beta
IEA7.pdf,Occipital,Alpha
IEA7.pdf,Parietal,Alpha
IEA8.pdf,Primary Somatosensory Cortex (S1),Alpha
