Document,Region,Frequency Band
10.pdf,Frontal,Alpha
34.pdf,Frontal,Beta
34.pdf,Central,Beta
35.pdf,Motor Cortex,Beta
35.pdf,Sensory-Motor Cortex,Alpha
35.pdf,Pre-Motor Cortex,Alpha
35.pdf,Supplementary Motor Cortex,Theta
35.pdf,Visual-Motor Cortex,Alpha
MI8.pdf,Motor,Alpha
MI8.pdf,Motor,Theta
MI8.pdf,Motor,Alpha
MI8.pdf,Motor,Beta
MI8.pdf,Motor,Alpha
MI9.pdf,Motor,Alpha
MI9.pdf,Central,Alpha
MI9.pdf,Central,Beta
MI9.pdf,Parietal,Alpha
MI9.pdf,Parietal,Beta
MI9.pdf,Temporal,Alpha
MI9.pdf,Temporal,Beta
MI1.pdf,Frontal,Beta
MI1.pdf,Central,Beta
MI1.pdf,Motor,Beta
MI15.pdf,Motor,Alpha
MI7.pdf,Frontal,Theta
MI7.pdf,Central,Theta
MI7.pdf,Motor,Theta
MI7.pdf,Parietal,Theta
MI7.pdf,Temporal,Theta
MI7.pdf,Occipital,Theta
MI13.pdf,Frontal,Beta
MI13.pdf,Parietal,Alpha
MI13.pdf,Occipital,Alpha
36.pdf,Frontal,Alpha
36.pdf,Central,Beta
36.pdf,Motor,Alpha
36.pdf,Parietal,Theta
36.pdf,Temporal,Alpha
36.pdf,Occipital,Alpha
MI11.pdf,NO LOCATION,Alpha
MI11.pdf,NO LOCATION,Theta
MI11.pdf,NO LOCATION,Alpha
MI11.pdf,NO LOCATION,Beta
MI11.pdf,NO LOCATION,Alpha
46.pdf,Frontal,Beta
AA1.pdf,Motor,Beta
AA8.pdf,Frontal,Alpha
44.pdf,Frontal,Alpha
44.pdf,Central,Beta
44.pdf,Motor,Alpha
44.pdf,Parietal,Theta
44.pdf,Temporal,Alpha
44.pdf,Occipital,Alpha
48.pdf,Frontal,Alpha
48.pdf,Frontal,Theta
48.pdf,Frontal,Alpha
48.pdf,Frontal,Beta
AA5.pdf,Frontal,Alpha
AA5.pdf,Frontal,Alpha
AA5.pdf,Motor,Alpha
AA5.pdf,Motor,Alpha
45.pdf,Frontal,Alpha
38.pdf,Frontal,Alpha
38.pdf,Central,Beta
38.pdf,Motor,Alpha
38.pdf,Parietal,Theta
38.pdf,Temporal,Alpha
38.pdf,Occipital,Alpha
AA2.pdf,Motor,Beta
AA2.pdf,Parietal,Alpha
AA2.pdf,Occipital,Alpha
47.pdf,Frontal,Theta
47.pdf,Central,Theta
47.pdf,Motor,Theta
AA3.pdf,Frontal,Beta
AA3.pdf,Central,Beta
AA3.pdf,Motor,Beta
AA3.pdf,Parietal,Beta
43.pdf,Frontal,Alpha
AA6.pdf,Frontal,Alpha
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Central,Alpha
IEA4.pdf,Motor,Alpha
IEA4.pdf,Parietal,Alpha
IEA8.pdf,Frontal,Alpha
IEA8.pdf,Central,Alpha
IEA8.pdf,Motor,Alpha
IEA8.pdf,Parietal,Alpha
IEA8.pdf,Temporal,Alpha
IEA10.pdf,Frontal,Theta
52.pdf,Frontal,Alpha
52.pdf,Frontal,Theta
52.pdf,Frontal,Alpha
IEA1.pdf,Frontal,Alpha
IEA1.pdf,Frontal,Theta
53.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Central,Beta
IEA3.pdf,Motor,Alpha
IEA3.pdf,Parietal,Theta
IEA3.pdf,Temporal,Alpha
IEA3.pdf,Occipital,Alpha
55.pdf,Frontal,Alpha
55.pdf,Frontal,Alpha
55.pdf,Parietal,Alpha
IEA5.pdf,Occipital,Alpha
IEA5.pdf,Frontal,Alpha
57.pdf,Frontal,Alpha
57.pdf,Central,Theta
57.pdf,Motor,Alpha
57.pdf,Parietal,Beta
17.pdf,Frontal,Alpha
17.pdf,Frontal,Theta
17.pdf,Parietal,Alpha
