Document,Region,Frequency Band
10.pdf,Alpha desynchronization,Theta
10.pdf,Frontal,Theta
10.pdf,Central,Theta
10.pdf,Motor,Theta
10.pdf,Parietal,Theta
10.pdf,Temporal,Theta
35.pdf,Pre-motor cortex,Theta
35.pdf,Supplementary motor cortex,Theta
35.pdf,Visual-motor task,Theta
37.pdf,Temporal-Spectral Evolution Method,Theta
37.pdf,Visual Cortex,Theta
37.pdf,Neurons,Theta
37.pdf,Functional Grouping,Theta
37.pdf,Low-Frequency Stimuli,Theta
37.pdf,High-Frequency Stimuli,Theta
MI8.pdf,Motor Imagery Classification,Alpha
MI8.pdf,Lesions,Alpha
MI8.pdf,Deep Sleep,Alpha
MI8.pdf,Motion Artefacts,Alpha
MI12.pdf,Frontal,Alpha
MI2.pdf,Motor Imagery,Alpha
MI2.pdf,Motor Imagery,Alpha
MI15.pdf,Frontal,Alpha
MI15.pdf,Central,Alpha
MI15.pdf,Motor,Alpha
MI15.pdf,Parietal,Alpha
MI15.pdf,Temporal,Alpha
MI15.pdf,Occipital,Alpha
MI10.pdf,Frontal,Alpha
MI10.pdf,Central,Alpha
MI10.pdf,Motor,Alpha
MI10.pdf,Parietal,Alpha
MI10.pdf,Temporal,Alpha
MI10.pdf,Occipital,Alpha
MI7.pdf,"df = pd.read_csv('input.txt', sep='",Alpha
MI13.pdf,Frontal,Theta
MI13.pdf,Central,Theta
36.pdf,Primary Motor Cortex,Theta
36.pdf,Supplementary Motor Area,Theta
MI14.pdf,Frontal,Theta
MI14.pdf,Occipital,Alpha
40.pdf,Left Frontal Cortex,Alpha
40.pdf,Left Frontal Cortex,Theta
40.pdf,Left Frontal Cortex,Alpha
40.pdf,Left Frontal Cortex,Beta
40.pdf,Left Frontal Cortex,Alpha
46.pdf,- Frontal lobe,Beta
46.pdf,- Temporal lobe,Beta
46.pdf,- Parietal lobe,Beta
46.pdf,- Occipital lobe,Beta
46.pdf,- Cerebellum,Beta
46.pdf,- Thalamus,Beta
46.pdf,- Hypothalamus,Beta
46.pdf,- Amygdala,Beta
46.pdf,- Hippocampus,Beta
46.pdf,- Corpus callosum,Beta
46.pdf,- Basal ganglia,Beta
46.pdf,- Brainstem,Beta
46.pdf,- Spinal cord,Beta
AA1.pdf,Frontal,Alpha
AA1.pdf,Central,Beta
AA1.pdf,Parietal,Alpha
AA1.pdf,Motor,Alpha
AA1.pdf,Temporal,Alpha
AA1.pdf,Occipital,Alpha
AA8.pdf,Frontal,Alpha
AA8.pdf,Central,Alpha
AA8.pdf,Motor,Alpha
AA8.pdf,Parietal,Alpha
AA8.pdf,Temporal,Alpha
AA8.pdf,Occipital,Alpha
44.pdf,- Visual Cortex,Alpha
44.pdf,- Auditory Cortex,Alpha
