Document,Region,Frequency Band
35.pdf,Frontal,Alpha
35.pdf,Frontal,Theta
35.pdf,Frontal,Alpha
35.pdf,Frontal,Beta
35.pdf,Frontal,Alpha
35.pdf,Central,Alpha
35.pdf,Central,Theta
35.pdf,Central,Alpha
35.pdf,Central,Beta
35.pdf,Central,Alpha
35.pdf,Motor,Alpha
35.pdf,Motor,Theta
35.pdf,Motor,Alpha
35.pdf,Motor,Beta
35.pdf,Motor,Alpha
35.pdf,Parietal,Alpha
35.pdf,Parietal,Theta
35.pdf,Parietal,Alpha
35.pdf,Parietal,Beta
35.pdf,Parietal,Alpha
35.pdf,Temporal,Alpha
35.pdf,Temporal,Theta
35.pdf,Temporal,Alpha
35.pdf,Temporal,Beta
35.pdf,Temporal,Alpha
35.pdf,Occipital,Alpha
35.pdf,Occipital,Theta
35.pdf,Occipital,Alpha
35.pdf,Occipital,Beta
35.pdf,Occipital,Alpha
35.pdf,NO LOCATION,Alpha
35.pdf,NO LOCATION,Theta
35.pdf,NO LOCATION,Alpha
35.pdf,NO LOCATION,Beta
35.pdf,NO LOCATION,Alpha
35.pdf,- The output format is strictly followed. Each line has one Location,Alpha
35.pdf,"print(f""{location}",Alpha
35.pdf,"print(""NO LOCATION",Alpha
35.pdf,"print(""NO LOCATION",Theta
35.pdf,"print(""NO LOCATION",Alpha
35.pdf,"print(""NO LOCATION",Beta
35.pdf,"print(""NO LOCATION",Alpha
35.pdf,Pre-motor cortex,Alpha
35.pdf,Pre-motor cortex,Theta
35.pdf,Pre-motor cortex,Alpha
35.pdf,Pre-motor cortex,Beta
35.pdf,Pre-motor cortex,Alpha
35.pdf,Supplementary motor cortex,Alpha
35.pdf,Supplementary motor cortex,Theta
35.pdf,Supplementary motor cortex,Alpha
35.pdf,Supplementary motor cortex,Beta
35.pdf,Supplementary motor cortex,Alpha
35.pdf,Sensitive-motor cortex,Alpha
35.pdf,Sensitive-motor cortex,Theta
35.pdf,Sensitive-motor cortex,Alpha
35.pdf,Sensitive-motor cortex,Beta
35.pdf,Sensitive-motor cortex,Alpha
35.pdf,Visual-motor task,Alpha
35.pdf,Visual-motor task,Theta
35.pdf,Visual-motor task,Alpha
35.pdf,Visual-motor task,Beta
35.pdf,Visual-motor task,Alpha
35.pdf,NO LOCATION,Alpha
35.pdf,NO LOCATION,Theta
35.pdf,NO LOCATION,Alpha
35.pdf,NO LOCATION,Beta
35.pdf,NO LOCATION,Alpha
37.pdf,Frontal,Alpha
37.pdf,Frontal,Theta
37.pdf,Frontal,Alpha
37.pdf,Frontal,Beta
37.pdf,Frontal,Alpha
37.pdf,Central,Alpha
37.pdf,Central,Theta
37.pdf,Central,Alpha
37.pdf,Central,Beta
37.pdf,Central,Alpha
37.pdf,Motor,Alpha
37.pdf,Motor,Theta
37.pdf,Motor,Alpha
37.pdf,Motor,Beta
37.pdf,Motor,Alpha
37.pdf,Parietal,Alpha
37.pdf,Parietal,Theta
37.pdf,Parietal,Alpha
37.pdf,Parietal,Beta
37.pdf,Parietal,Alpha
37.pdf,Temporal,Alpha
37.pdf,Temporal,Theta
37.pdf,Temporal,Alpha
37.pdf,Temporal,Beta
37.pdf,Temporal,Alpha
37.pdf,Occipital,Alpha
37.pdf,Occipital,Theta
37.pdf,Occipital,Alpha
37.pdf,Occipital,Beta
37.pdf,Occipital,Alpha
MI12.pdf,Primary Motor Cortex,Alpha
MI12.pdf,Supplementary Motor Area,Alpha
MI12.pdf,Prefrontal Cortex,Alpha
MI12.pdf,Primary Motor Cortex,Alpha
MI12.pdf,Supplementary Motor Area,Alpha
MI12.pdf,Prefrontal Cortex,Alpha
MI12.pdf,NO LOCATION,Alpha
MI1.pdf,Frontal,Alpha
MI1.pdf,Frontal,Beta
MI1.pdf,Premotor cortex,Alpha
MI1.pdf,Premotor cortex,Beta
MI1.pdf,Parietal cortex,Alpha
MI1.pdf,Parietal cortex,Beta
MI5.pdf,Frontal,Alpha
MI5.pdf,Frontal,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Theta
MI5.pdf,,Alpha
MI5.pdf,,Beta
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI5.pdf,,Alpha
MI15.pdf,Frontal,Alpha
MI15.pdf,Frontal,Beta
MI15.pdf,Central,Alpha
MI15.pdf,Central,Beta
MI15.pdf,Motor,Alpha
MI15.pdf,Motor,Beta
MI15.pdf,Parietal,Alpha
MI15.pdf,Parietal,Beta
MI15.pdf,Temporal,Alpha
MI15.pdf,Temporal,Beta
MI15.pdf,Occipital,Alpha
MI15.pdf,Occipital,Beta
MI15.pdf,"""Right Movement",Alpha
MI15.pdf,"""Right Movement",Beta
MI15.pdf,"""Left Movement",Alpha
MI15.pdf,"""Left Movement",Beta
MI15.pdf,"output.append(f""{brain_region}",Alpha
MI15.pdf,Frontal,Alpha
MI15.pdf,Frontal,Beta
MI15.pdf,Central,Alpha
MI15.pdf,Central,Beta
MI15.pdf,Motor,Alpha
MI15.pdf,Motor,Beta
MI15.pdf,Parietal,Alpha
MI15.pdf,Parietal,Beta
MI15.pdf,Temporal,Alpha
MI15.pdf,Temporal,Beta
MI15.pdf,Occipital,Alpha
MI15.pdf,Occipital,Beta
MI15.pdf,"""Right Movement",Alpha
MI15.pdf,"""Right Movement",Beta
MI15.pdf,"""Left Movement",Alpha
MI15.pdf,"""Left Movement",Beta
MI15.pdf,"output.append(f""{brain_region}",Alpha
MI15.pdf,Frontal,Alpha
MI15.pdf,Frontal,Beta
MI15.pdf,Central,Alpha
MI15.pdf,Central,Beta
MI15.pdf,Motor,Alpha
MI15.pdf,Motor,Beta
MI15.pdf,Parietal,Alpha
MI15.pdf,Parietal,Beta
MI15.pdf,Temporal,Alpha
MI15.pdf,Temporal,Beta
MI15.pdf,Occipital,Alpha
MI15.pdf,Occipital,Beta
MI7.pdf,Frontal,Theta
MI7.pdf,Frontal,Alpha
MI7.pdf,Frontal,Beta
MI7.pdf,Frontal,Alpha
MI7.pdf,Central,Theta
MI7.pdf,Central,Alpha
MI7.pdf,Central,Beta
MI7.pdf,Central,Alpha
MI7.pdf,Motor,Theta
MI7.pdf,Motor,Alpha
MI7.pdf,Motor,Beta
MI7.pdf,Motor,Alpha
MI7.pdf,Parietal,Theta
MI7.pdf,Parietal,Alpha
MI7.pdf,Parietal,Beta
MI7.pdf,Parietal,Alpha
MI7.pdf,Temporal,Theta
MI7.pdf,Temporal,Alpha
MI7.pdf,Temporal,Beta
MI7.pdf,Temporal,Alpha
MI7.pdf,Occipital,Theta
MI7.pdf,Occipital,Alpha
MI7.pdf,Occipital,Beta
MI7.pdf,Occipital,Alpha
MI7.pdf,NO LOCATION,Theta
MI7.pdf,NO LOCATION,Alpha
MI7.pdf,NO LOCATION,Beta
MI7.pdf,NO LOCATION,Alpha
MI7.pdf,"""Brain",Theta
MI7.pdf,"""Brain",Alpha
MI7.pdf,"""Brain",Alpha
MI7.pdf,"""Brain",Beta
MI7.pdf,"""Brain",Alpha
MI7.pdf,"print(""NO LOCATION",Theta
