Document,Region,Frequency Band
10.pdf,Motor area,Alpha
10.pdf,Motor area,Alpha
10.pdf,Motor area,Theta
10.pdf,Motor area,Alpha
10.pdf,Motor area,Beta
10.pdf,Motor area,Alpha
10.pdf,Occipital,Alpha
10.pdf,Other areas of the brain,Alpha
37.pdf,Frontal,Alpha
37.pdf,Frontal,Theta
37.pdf,Frontal,Alpha
37.pdf,Frontal,Beta
37.pdf,Frontal,Alpha
37.pdf,Central,Alpha
37.pdf,Central,Theta
37.pdf,Central,Alpha
37.pdf,Central,Beta
MI8.pdf,Frontal,Alpha
MI8.pdf,Central,Alpha
MI8.pdf,Motor,Alpha
MI8.pdf,Parietal,Alpha
MI8.pdf,Temporal,Alpha
MI8.pdf,Occipital,Alpha
MI9.pdf,Frontal,Alpha
MI9.pdf,Frontal,Theta
MI9.pdf,Frontal,Alpha
MI9.pdf,Frontal,Beta
MI9.pdf,Frontal,Alpha
MI9.pdf,Central,Alpha
MI9.pdf,Central,Beta
MI9.pdf,Occipital,Alpha
MI12.pdf,Frontal,Alpha
MI12.pdf,Frontal,Theta
MI12.pdf,Frontal,Alpha
MI12.pdf,Frontal,Beta
MI12.pdf,Central,Alpha
MI12.pdf,Central,Theta
MI12.pdf,Central,Alpha
MI12.pdf,Central,Beta
MI12.pdf,Motor,Alpha
MI4.pdf,Frontal,Alpha
MI4.pdf,Frontal,Beta
MI4.pdf,Parietal,Alpha
MI4.pdf,Central,Alpha
MI4.pdf,Temporal,Theta
MI4.pdf,Frontal,Alpha
MI4.pdf,Frontal,Beta
MI1.pdf,- Sensorimotor cortex,Alpha
MI1.pdf,- Sensorimotor cortex,Beta
MI1.pdf,- Premotor cortex,Alpha
MI1.pdf,- Premotor cortex,Beta
MI1.pdf,- Parietal cortex,Alpha
MI5.pdf,Frontal,Alpha
MI5.pdf,Frontal,Alpha
MI5.pdf,Central,Alpha
MI5.pdf,Parietal,Theta
MI5.pdf,Frontal,Alpha
MI5.pdf,Frontal,Beta
MI5.pdf,Frontal,Alpha
MI5.pdf,Frontal,Alpha
MI2.pdf,Frontal,Alpha
