Document,Region,Frequency Band
10.pdf,Primary Motor Cortex (M1),Alpha
10.pdf,Primary Motor Cortex (M1),Alpha
35.pdf,Sensitive-motor cortex,Theta
35.pdf,Pre-motor cortex,Alpha
35.pdf,Supplementary motor cortex,Alpha
37.pdf,Frontal,Alpha
37.pdf,Central,Theta
37.pdf,Motor,Alpha
37.pdf,Parietal,Beta
37.pdf,Temporal,Alpha
37.pdf,Occipital,Alpha
MI8.pdf,Motor Imagery Classification,Alpha
MI8.pdf,Lesions,Alpha
MI8.pdf,Deep Sleep,Alpha
MI8.pdf,Motion Artefacts,Alpha
MI9.pdf,NO LOCATION,Alpha
MI9.pdf,NO LOCATION,Theta
MI9.pdf,NO LOCATION,Alpha
MI9.pdf,NO LOCATION,Beta
MI9.pdf,NO LOCATION,Alpha
MI4.pdf,Frontal,Alpha
MI4.pdf,Motor,Beta
MI1.pdf,- Sensorimotor Cortex,Alpha
MI1.pdf,- Sensorimotor Cortex,Beta
MI2.pdf,Motor Imagery,Alpha
MI2.pdf,Motor Imagery,Alpha
MI15.pdf,Frontal,Alpha
MI15.pdf,Central,Alpha
MI15.pdf,Motor,Alpha
MI15.pdf,Parietal,Alpha
MI15.pdf,Temporal,Alpha
MI15.pdf,Occipital,Alpha
MI10.pdf,- Frontal,Alpha
MI10.pdf,- Central,Alpha
MI10.pdf,- Motor,Alpha
MI10.pdf,- Parietal,Alpha
MI10.pdf,- Temporal,Alpha
MI10.pdf,- Occipital,Alpha
MI13.pdf,Primary Motor Cortex,Beta
MI13.pdf,Supplementary Motor Area,Beta
MI13.pdf,Premotor Cortex,Beta
36.pdf,Sensorimotor cortex,Alpha
36.pdf,Sensorimotor cortex,Beta
36.pdf,Primary motor cortex,Alpha
36.pdf,Primary motor cortex,Beta
MI14.pdf,Frontal,Theta
40.pdf,Frontal,Beta
40.pdf,Central,Beta
40.pdf,Motor,Beta
40.pdf,Parietal,Beta
40.pdf,Temporal,Beta
40.pdf,Occipital,Beta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Beta
44.pdf,- Visual Cortex,Alpha
44.pdf,- Parietal Cortex,Alpha
44.pdf,- Auditory Cortex,Alpha
44.pdf,- Supramodal Representation of Space,Alpha
48.pdf,Frontal,Alpha
48.pdf,Frontal,Theta
48.pdf,Frontal,Alpha
48.pdf,Frontal,Beta
48.pdf,Frontal,Alpha
48.pdf,Equidistantly placed,Alpha
48.pdf,Equidistantly placed,Theta
48.pdf,Equidistantly placed,Alpha
48.pdf,Equidistantly placed,Beta
48.pdf,Equidistantly placed,Alpha
42.pdf,Frontal,Alpha
42.pdf,All,Theta
42.pdf,All,Alpha
42.pdf,All,Beta
AA5.pdf,Frontal,Alpha
AA5.pdf,Temporal,Alpha
AA5.pdf,Auditory Cortex,Alpha
38.pdf,FrontalNetwork,Theta
38.pdf,AnteriorandPosteriorCingulate,Theta
47.pdf,- Scientific RepoRtS,Alpha
47.pdf,- Scientific RepoRtS,Theta
47.pdf,- Scientific RepoRtS,Alpha
47.pdf,- Scientific RepoRtS,Beta
47.pdf,- Scientific RepoRtS,Alpha
47.pdf,- Magnetoencephalography,Alpha
47.pdf,- Magnetoencephalography,Theta
